Site,Plant,Sex,Individual,PhenotypeA,PhenotypeB
Site 5,4,Male,15,3.4859197264908266,3.0162736275222377
Site 5,4,Male,16,3.6341324883351454,2.1839432536030943
Site 5,4,Female,17,2.870582206212782,2.392664566549854
Site 5,4,Female,18,2.8174882498836618,2.8912443607716365
Site 5,4,Male,19,3.8890754275565516,3.0532166718084714
Site 5,4,Female,20,2.3644315838081456,3.3106737273758435
Site 5,5,Female,1,3.669781865205482,3.4797289911775007
Site 5,5,Female,2,2.8502781364299947,4.096863171431736
Site 5,5,Female,3,2.8626904090835654,1.846374499932204
Site 5,5,Female,4,3.330824052304616,2.0803113717629342
Site 5,5,Male,5,3.2798281645543237,2.8069268663199547
Site 5,5,Female,6,3.519369829805173,2.378887973149749
Site 5,5,Male,7,2.6570060725716163,3.7342259204139916
Site 5,5,Male,8,3.294650932227493,3.249191091154108
Site 5,5,Male,9,2.7918319146094768,3.117429029011916
Site 5,5,Female,10,3.627049395872429,2.11895120124777
Site 5,5,Female,11,2.071897502580521,2.0964114044681645
Site 5,5,Female,12,3.744657744123064,2.2911092291620005
Site 5,5,Male,13,3.397518294191566,2.352394760752043
Site 5,5,Male,14,2.6720091692000905,2.623414657733934
Site 5,5,Male,15,3.92084103011063,1.9775299467242275
Site 5,5,Male,16,3.5186888581804223,3.4267607881003888
Site 5,5,Male,17,2.5696194371767374,2.9096039642392637
Site 5,5,Female,18,3.0606122194255634,2.9626843180829407
Site 5,5,Male,19,2.7042704089832466,2.1436319748486623
Site 5,5,Female,20,2.5727924064454095,2.914095912920981
Site 6,1,Female,1,2.930456405336278,1.0248122487331313
Site 6,1,Male,2,2.9635723154783884,1.503279384244363
Site 6,1,Male,3,3.1375176811260914,1.9118491691236073
Site 6,1,Female,4,3.1004992999950955,1.1309212454788056
Site 6,1,Female,5,2.9012430312848982,1.6106210179447316
Site 6,1,Female,6,2.4936429899352732,2.7070847435380996
Site 6,1,Male,7,3.0163869042198477,1.0839243255440958
Site 6,1,Female,8,1.9521389113646663,2.0207808928441313
Site 6,1,Male,9,3.3112345711738627,0.8006498406292529
Site 6,1,Female,10,2.9573666738559523,0.8262050909172519
Site 6,1,Male,11,2.171658482251476,1.5488964198296105
Site 6,1,Male,12,2.798493211034645,1.9121510088061406
Site 6,1,Female,13,2.2504543387798144,1.6074669601050884
Site 6,1,Female,14,2.5988846566844837,0.6917142006716634
Site 6,1,Female,15,2.065656173787491,2.0164627085974853
Site 6,1,Female,16,3.0394982846793686,0.5115072987145026
Site 6,1,Male,17,2.8558887370884003,0.8440037555586565
Site 6,1,Male,18,2.509071034404452,2.148663682433091
Site 6,1,Female,19,2.4587564520297795,1.5084795627086396
Site 6,1,Male,20,3.225133836271731,1.4474797590533073
Site 6,2,Female,1,2.7029146949898673,1.3881040579415465
Site 6,2,Male,2,2.141073010959182,1.4049764873943085
Site 6,2,Male,3,2.912346328375836,0.9562726475011533
Site 6,2,Female,4,2.798696046044546,1.5171912837768962
Site 6,2,Female,5,3.592922106889422,1.5046231380746815
Site 6,2,Female,6,3.147780794171524,2.5157362346964804
Site 6,2,Female,7,3.1525801724381575,0.8280366549004248
Site 6,2,Male,8,3.2992364595492742,2.0044823604402704
Site 6,2,Female,9,2.6907802234682645,0.3863507103352881
Site 6,2,Male,10,2.800179983627268,1.3551065030248108
Site 6,2,Male,11,3.0422094561234236,1.604015572102485
Site 6,2,Male,12,3.300107408448746,1.7674294597626692
Site 6,2,Female,13,3.0386762843490898,1.7593116299086078
Site 6,2,Male,14,2.9067094217174687,1.2278174858608506
Site 6,2,Female,15,2.852199816022273,0.9821395617322877
Site 6,2,Female,16,2.5176974231549254,2.565302565845913
Site 6,2,Female,17,3.3864239557815017,1.7967524897909553
Site 6,2,Male,18,3.2276280831492623,1.245890673787958
Site 6,2,Male,19,3.13943595873799,1.3415044849140407
Site 6,2,Male,20,2.740668862393984,1.4354149250490758
Site 6,3,Male,1,2.3888929563240326,0.3672190311989858
Site 6,3,Male,2,3.2439578635473336,1.948914469849504
Site 6,3,Male,3,2.7882616162774982,1.072579466240193
Site 6,3,Female,4,2.8346010998513793,1.2996573898999628
Site 6,3,Female,5,3.676036984787528,1.9995806758798813
Site 6,3,Female,6,2.424807668108827,1.4704138520329126
Site 6,3,Female,7,2.72925770990225,1.808951108064979
Site 6,3,Male,8,3.436433012993011,1.370005564603748
Site 6,3,Male,9,3.0648052800384553,2.035056826133072
Site 6,3,Male,10,2.6483236094634726,1.2869031973484915
Site 6,3,Female,11,2.491364191315481,0.18149839577201643
Site 6,3,Male,12,3.345029313118162,0.833010005646059
Site 6,3,Male,13,2.720491597931482,1.5871023879983919
Site 6,3,Male,14,2.3612297870742376,0.8183261083194299
Site 6,3,Female,15,3.0019329158152375,1.9916229789488358
Site 6,3,Female,16,2.4572880356435642,1.0759005783675857
Site 6,3,Male,17,2.5135688029036922,0.24545426332424114
Site 6,3,Male,18,2.6858369308864622,1.811727961168208
Site 6,3,Female,19,2.5964781807493664,2.0896537256367234
Site 6,3,Female,20,2.854701397524549,0.6502992264884393
Site 6,4,Female,1,2.537289785365915,2.0138992970246514
Site 6,4,Female,2,2.820011871317571,1.7611466701650245
Site 6,4,Female,3,3.004703742790289,1.715888630039727
Site 6,4,Male,4,2.9529155183813383,0.5888091916977184
Site 6,4,Female,5,3.027486539891613,1.2375783413564962
Site 6,4,Female,6,2.9476700413613046,1.2358705877570095
Site 6,4,Female,7,2.3899795744225747,2.4346964805553717
Site 6,4,Female,8,2.522744224602276,1.6473101656183555
Site 6,4,Female,9,3.1863074447204487,1.528235898811798
Site 6,4,Female,10,2.970015218028081,2.188478849107555
Site 6,4,Female,11,3.2100362963686253,2.001407809044055
Site 6,4,Female,12,2.232861919651785,0.8917694669428359
Site 6,4,Male,13,2.8655014504536145,2.6162892053697684
Site 6,4,Female,14,2.6966007338798446,2.1383563592676893
Site 6,4,Female,15,2.6872332269436505,1.4406605628177536
Site 6,4,Male,16,2.88758586537438,1.530332229902585
Site 6,4,Female,17,3.0882044330314686,2.191794674844579
Site 6,4,Female,18,2.233672318103686,1.7182717279498556
Site 6,4,Male,19,3.2253641025771627,0.9609614835293376
Site 6,4,Male,20,2.7132179539673764,1.6334641396632115
Site 6,5,Female,1,2.733692451124037,1.5086491916682347
Site 6,5,Male,2,2.962978624999793,1.8341983586505495
Site 6,5,Female,3,3.027900877587876,1.1749382957211836
Site 6,5,Male,4,2.663216569090145,1.6551775941286015
Site 6,5,Female,5,3.399216606245054,0.7408368813774443
Site 6,5,Male,6,2.7370363089076393,1.6843594725847564
Site 6,5,Female,7,2.7378361249400434,1.2494475444988338
Site 6,5,Female,8,2.553323856891989,1.9386864337798204
Site 6,5,Female,9,2.5780008470665727,0.9595312337680845
Site 6,5,Female,10,2.30410388026766,0.970577520192109
Site 6,5,Male,11,3.280883400493455,1.40914499239337
Site 6,5,Male,12,3.589466717148963,1.5289561059337544
Site 6,5,Male,13,3.0432361549407925,0.9912493239205791
Site 6,5,Female,14,2.8604822668706382,0.7030096928533739
Site 6,5,Female,15,2.776517396450472,0.8183241381060885
Site 6,5,Female,16,2.6947525403976864,1.3028467980309633
Site 6,5,Female,17,2.971743386203965,1.3933394556478012
Site 6,5,Female,18,2.6730154146230474,1.40524934684498
Site 6,5,Female,19,2.8361552625591737,2.0729141968980453
Site 6,5,Male,20,3.319429040854162,1.4798118942396672
Site 7,1,Male,1,1.8536310701692549,3.70032418752987
Site 7,1,Female,2,1.4559575212096818,3.24002732505717
Site 7,1,Male,3,2.037992788102311,2.527554601330268
Site 7,1,Female,4,1.4289186649988763,3.0365386294426133
Site 7,1,Female,5,2.14567381112265,2.4875502543317394
Site 7,1,Female,6,1.8125961525326844,2.2088271958174954
Site 7,1,Female,7,1.6589314776789448,2.2129194319648993
Site 7,1,Female,8,1.9760136159473776,2.5950882663766746
Site 7,1,Female,9,1.5478694673459115,1.926965491614823
Site 7,1,Male,10,1.6354986457904233,2.9776286267339054
Site 7,1,Female,11,1.9987910997695941,3.1118716418619132
Site 7,1,Male,12,1.5792523536281262,2.689895931547028
Site 7,1,Male,13,2.2254295201087837,3.1920517193122104
Site 7,1,Male,14,1.7133266185967708,1.730657180421095
Site 7,1,Male,15,1.360378664862673,2.768389185413036
Site 7,1,Male,16,1.68347208660802,3.0177808582668373
Site 7,1,Female,17,1.5209513620862165,3.0478738802220917
Site 7,1,Female,18,0.7674956370206419,2.747637919904438
Site 7,1,Male,19,1.3186169621338075,3.332573309767786
Site 7,1,Male,20,1.5931185857564476,3.2037428877080676
Site 7,2,Female,1,1.6968720357834681,3.3876093226868083
Site 7,2,Female,2,2.3726354131276084,2.9113706897392886
Site 7,2,Female,3,1.5990024669180003,2.5097329416473
Site 7,2,Female,4,1.8028401568836792,2.031018549199683
Site 7,2,Male,5,1.272610547020932,2.745582774140515
Site 7,2,Female,6,1.2234372040409547,3.054026947994789
Site 7,2,Male,7,0.9241443149713542,2.6532690101832257
Site 7,2,Male,8,0.8167775614011555,2.9044682902835537
Site 7,2,Male,9,2.042838332957293,3.1202607157152285
Site 7,2,Male,10,2.0667183403332197,2.6516992052962425
Site 7,2,Female,11,2.558955502392227,3.1517264876654028
Site 7,2,Female,12,1.741875954833394,2.6657804392314715
Site 7,2,Male,13,0.851804898902032,2.2693102027769694
Site 7,2,Female,14,2.0407466345192176,2.2605864574624848
Site 7,2,Male,15,2.286681534783511,2.9607608757903496
Site 7,2,Male,16,1.7478938327204974,3.029284925181396
Site 7,2,Male,17,2.1200625331587033,2.534617688799024
Site 7,2,Male,18,1.3695674082423799,3.022795427970856
Site 7,2,Female,19,2.3699181069278286,2.6673159530112316
Site 7,2,Male,20,1.8820743090896008,2.379321428789579
Site 7,3,Female,1,2.219329325952063,2.5785706398634742
Site 7,3,Male,2,1.556992284205245,2.9997799610197675
Site 7,3,Female,3,2.0464782062098235,2.693889267480149
Site 7,3,Male,4,1.941045459099085,3.4081512267773495
Site 7,3,Female,5,1.5288358777224078,2.7486388247087143
Site 7,3,Female,6,1.3756687943818968,3.2034964893440385
Site 7,3,Male,7,2.046285649010156,2.2452038045272396
Site 7,3,Male,8,1.61740437723627,2.5275478750590277
Site 7,3,Female,9,1.3891420890597117,2.8730769955922213
Site 7,3,Male,10,1.4481795964743658,2.4352299219483364
Site 7,3,Female,11,1.684694970499838,2.966147966116435
Site 7,3,Male,12,1.1098943375003558,2.7364552034592418
Site 7,3,Male,13,2.225189947836297,2.9483394242808005
Site 7,3,Female,14,1.7020342427614854,1.8642788230524276
Site 7,3,Female,15,1.4325502601521598,2.2428694681810346
Site 7,3,Male,16,1.0786842152786003,3.088014366218651
Site 7,3,Male,17,1.4752019920123616,2.6020374231014474
Site 7,3,Male,18,1.885273175501804,2.5494801350530465
Site 7,3,Male,19,2.672049202996301,3.6042244639810703
Site 7,3,Male,20,2.720445293271344,3.5495041307664676
Site 7,4,Female,1,1.5973548756115783,3.2746777400111426
Site 7,4,Male,2,1.9456318765873895,3.540849415923506
Site 7,4,Female,3,1.5758043126015502,2.664053229888232
Site 7,4,Male,4,2.34274933567194,2.2844647231154265
Site 7,4,Female,5,1.5134363624335496,2.5237523319619526
Site 7,4,Male,6,2.144267968792925,2.5374765757079927
Site 7,4,Female,7,1.8082742170882526,2.917570750612614
Site 7,4,Male,8,1.0731433514201623,3.169354816997827
Site 7,4,Male,9,1.6234933543347565,2.609367235484941
Site 7,4,Male,10,1.2991075882369914,2.0306931802714914
Site 7,4,Male,11,1.8739116499529906,3.3034629824847785
Site 7,4,Male,12,1.9293903536215635,2.4895769454542167
Site 7,4,Male,13,1.2359744822708025,3.0630253032759476
Site 7,4,Female,14,2.338405813108314,3.6063676881414835
Site 7,4,Female,15,2.5043652863943295,3.0571447370658036
Site 7,4,Female,16,1.5962970046296332,2.9797545739967197
Site 7,4,Female,17,1.8674765939873845,2.3983808282399903
Site 7,4,Female,18,0.5825528485030689,3.3405254027676854
Site 7,4,Male,19,1.5305504460586803,3.5460510960803777
Site 7,4,Male,20,2.2503187844578085,3.112656626907556
Site 7,5,Male,1,1.5028912218324162,2.8169506251714904
Site 7,5,Male,2,1.4884748411458188,2.3451099645506037
Site 7,5,Female,3,1.9506953350047178,3.3818262823622605
Site 7,5,Male,4,1.0671687058894848,3.184300771750451
Site 7,5,Male,5,2.2665827788381567,2.4189700816891935
Site 7,5,Male,6,0.7901469469567922,3.171925231230539
Site 7,5,Male,7,1.6940932439957233,3.0974312542708375
Site 7,5,Female,8,1.6379757623042512,2.2316995207136583
Site 7,5,Male,9,1.0272029070765505,2.0694423505962387
Site 7,5,Female,10,1.6919716691021145,2.4967420669852416
Site 7,5,Male,11,1.91262529562447,2.8104316767208477
Site 7,5,Female,12,1.5833203951157528,2.6522762228674432
Site 7,5,Female,13,1.2427058251536471,2.634584797036249
Site 7,5,Female,14,0.9837953927064745,3.260625276161827
Site 7,5,Male,15,1.8481245897966438,2.9556401935344923
Site 7,5,Male,16,1.1297945625959005,2.676589117887579
Site 7,5,Female,17,1.5988383572227614,2.6589220698420033
Site 7,5,Female,18,1.6317329881657872,2.5744563477415863
Site 7,5,Female,19,1.22169828674766,2.7700344548806535
Site 7,5,Male,20,1.9263079858791075,3.0496697073030954
Site 8,1,Female,1,2.3116951391139415,3.2909879944322915
Site 8,1,Male,2,1.9326772537161183,2.0648539076181316
Site 8,1,Male,3,2.201386085000179,3.211406008862239
Site 8,1,Male,4,2.69641382547914,2.993249923490879
Site 8,1,Female,5,2.455178659775625,3.2499681192350085
Site 8,1,Female,6,2.271218405885009,2.141088613434614
Site 8,1,Female,7,2.324063654785384,2.6103145534836414
Site 8,1,Female,8,1.0540709284428997,2.1929092376549306
Site 8,1,Female,9,3.5525867179680333,1.4938529367853017
Site 8,1,Male,10,2.0591453573344465,2.3926662077639334
Site 8,1,Male,11,2.594620927520092,2.8896054851691835
Site 8,1,Male,12,2.234541149077137,2.4974105405834797
Site 8,1,Male,13,2.02163722422049,2.906854289647802
Site 8,1,Female,14,2.5774471294819756,2.614076759542058
Site 8,1,Female,15,2.7209982608189924,2.4339237164937044
Site 8,1,Male,16,1.6483207329486829,3.0800376198369737
Site 8,1,Female,17,1.8634595576082162,3.034128313386899
Site 8,1,Male,18,2.6114508610042533,2.5491369752399407
Site 8,1,Male,19,2.353183270404901,2.327422038980469
Site 8,1,Female,20,2.3687454109393307,3.0937709934856374
Site 8,2,Male,1,2.34287597832699,2.6268471352388576
Site 8,2,Female,2,1.5934029288360088,2.598213714494022
Site 8,2,Male,3,2.3796443577382664,2.629423159903581
Site 8,2,Female,4,2.140476418312747,3.3791959109463887
Site 8,2,Male,5,1.3009736569850467,2.1016543522951716
Site 8,2,Male,6,2.336211934716447,3.1171718051484576
Site 8,2,Male,7,2.074478525215316,2.151485227981561
Site 8,2,Male,8,1.9866181330518193,2.0282261098387746
Site 8,2,Male,9,1.6328739932010352,2.9969252682768692
Site 8,2,Female,10,2.348372291636465,2.928097058812671
Site 8,2,Female,11,1.4407562888870489,3.4332259432927987
Site 8,2,Male,12,1.7892934858705904,3.1850288299788536
Site 8,2,Male,13,2.5569916926437544,3.204576379823783
Site 8,2,Male,14,1.9574446168592914,2.8254521235793573
Site 8,2,Male,15,2.149492521499868,3.5981028468299003
Site 8,2,Male,16,3.25565760378012,2.6109766511287016
Site 8,2,Female,17,1.6689912289341629,2.144393653671654
Site 8,2,Female,18,2.4475138702397463,2.73722102111874
Site 8,2,Male,19,1.1408304274657965,3.2473006380192535
Site 8,2,Female,20,1.6587146395877723,2.3570029774571424
Site 8,3,Male,1,2.532840166811386,2.7947613630118187
Site 8,3,Female,2,2.06479553541723,2.9990164644391313
Site 8,3,Female,3,2.032028460457708,2.5515736102775053
Site 8,3,Female,4,1.0137199240364103,2.5484300580934756
Site 8,3,Female,5,1.9782386577155133,2.3688773531123863
Site 8,3,Female,6,2.4848006498827924,2.660915296682534
Site 8,3,Male,7,2.4586104729529943,3.469382075952739
Site 8,3,Male,8,2.5491538855276183,2.7912407990356036
Site 8,3,Male,9,2.3940370461672917,2.864518670827559
Site 8,3,Male,10,2.2347718121488374,2.3074772187851216
Site 8,3,Male,11,2.159347774356924,2.8718284034013775
Site 8,3,Female,12,2.483894000427016,2.5202989505138267
Site 8,3,Male,13,2.0204226072676343,2.689069767684472
Site 8,3,Male,14,1.7775983446750347,2.6536947353642946
Site 8,3,Male,15,1.3942624773945567,2.9642730948020013
Site 8,3,Male,16,2.679370725495686,2.7678545236800196
Site 8,3,Male,17,2.134765973955861,2.0264728880350065
Site 8,3,Female,18,2.3006558568837328,2.827232509933809
Site 8,3,Female,19,2.016107651190496,3.0474997035776017
Site 8,3,Female,20,2.445350165812927,3.0763652249133244
Site 8,4,Female,1,1.566813567191267,2.163506658478164
Site 8,4,Female,2,1.8601361767489721,2.1219788290855366
Site 8,4,Female,3,2.0259839198885055,3.0672123830418516
Site 8,4,Male,4,3.3030092133417286,3.163180660859236
Site 8,4,Male,5,2.2080027441992383,2.41200031932718
Site 8,4,Female,6,2.2381145491561276,3.095401178216624
Site 8,4,Male,7,2.2718659421063654,3.062240857334255
Site 8,4,Male,8,2.0719824685201567,2.2120809277502183
Site 8,4,Female,9,2.0815429031929424,2.1282446198402196
Site 8,4,Male,10,1.8279271576605054,1.6788878953819337
Site 8,4,Female,11,2.103521371226467,2.4105561398823934
Site 8,4,Male,12,1.8208143904280283,2.8503627836944596
Site 8,4,Male,13,2.177804038158037,2.7522890184186393
Site 8,4,Female,14,3.204655882010494,3.379228470453859
Site 8,4,Female,15,2.0212340196905547,2.797373004941067
Site 8,4,Male,16,2.6477183299194236,2.5544914710117097
Site 8,4,Female,17,1.9398828338876177,2.4890625952830034
Site 8,4,Female,18,2.275165998186238,3.0708520556744174
Site 8,4,Male,19,1.8250962880486477,2.336653524568798
Site 8,4,Female,20,2.339925435653287,2.5691585015455627
Site 8,5,Male,1,2.246639938121799,2.7235963508136116
Site 8,5,Male,2,2.354985214718904,2.972712785945756
Site 8,5,Male,3,2.0675892440934116,2.6443129290175023
Site 8,5,Female,4,2.418921303632921,3.399150532766474
Site 8,5,Female,5,2.836018887658984,2.656988524321745
Site 8,5,Male,6,2.646999364911179,2.544169914394942
Site 8,5,Female,7,2.357676224698255,2.3827257069904033
Site 8,5,Female,8,1.8828717558147212,2.2460758574952924
Site 8,5,Female,9,2.048148150271439,2.5357337499671213
Site 8,5,Male,10,2.6877632370343987,2.3791001842901127
Site 8,5,Female,11,2.5297273484013685,2.115818994349889
Site 8,5,Female,12,2.336064884007629,2.566073897685845
Site 8,5,Male,13,2.083748617250116,2.9921605489426315
Site 8,5,Female,14,3.25230188537925,2.955946381023445
Site 8,5,Male,15,2.178498883596478,2.2969305582140818
Site 8,5,Female,16,2.8971841028246326,3.590413690034751
Site 8,5,Male,17,1.9041341265957243,3.4040472032189824
Site 8,5,Male,18,1.8495547222422004,2.5084589112151594
Site 8,5,Male,19,1.7250226916077025,2.5314580849319928
Site 8,5,Female,20,2.057315229389132,3.232479535526728
Site 9,1,Female,1,2.9510254532218685,2.8443194800412157
Site 9,1,Male,2,3.576137941408825,2.4151291022378243
Site 9,1,Male,3,2.612950852545055,2.0481504241511646
Site 9,1,Female,4,1.669029003854982,1.7308751280913612
Site 9,1,Male,5,2.445270605930087,2.4320279518398062
Site 9,1,Female,6,2.7294983951992675,2.7250170692695663
Site 9,1,Male,7,1.0887509433225235,2.0567135600050737
Site 9,1,Male,8,1.753968819912987,2.0019408106715564
Site 9,1,Female,9,1.6005807039474487,2.4362883965513253
Site 9,1,Female,10,1.31014785385739,2.1604597224289357
Site 9,1,Male,11,3.8754421104862775,2.13714396337739
Site 9,1,Male,12,2.2521932483547418,4.048546841149799
Site 9,1,Female,13,1.8712605612321669,2.5243983675885406
Site 9,1,Male,14,1.6338140906620235,3.36021368488122
Site 9,1,Male,15,2.265865069893449,2.7016034226540064
Site 9,1,Male,16,2.3231545947695813,2.4199247796104206
Site 9,1,Male,17,2.381518506098583,3.318786202194988
Site 9,1,Female,18,1.987152694972942,2.1591985471224313
Site 9,1,Female,19,1.526264488183829,2.3015782363098376
Site 9,1,Female,20,2.3157783789773156,3.3169757401260407
Site 9,2,Female,1,2.351360557724796,2.637719135297963
Site 9,2,Female,2,2.523773460001843,2.095833698106655
Site 9,2,Female,3,2.3737249056408216,2.4460863741397687
Site 9,2,Female,4,1.582987873488769,2.4169849586195307
Site 9,2,Female,5,1.8656453956961814,2.2978043586666885
Site 9,2,Female,6,1.9216634562506356,2.8724321636213865
Site 9,2,Female,7,2.3801603190111416,2.063946011786074
Site 9,2,Female,8,2.36143774439774,2.067490666402855
Site 9,2,Female,9,2.433694886766704,2.6399038672302555
Site 9,2,Female,10,1.9008059014280703,3.155408743504757
Site 9,2,Male,11,1.692501275320122,2.6744958709743276
Site 9,2,Female,12,2.6015504691964497,3.104484367905332
Site 9,2,Male,13,2.546793739417978,1.5890557050863472
Site 9,2,Male,14,2.3445879170946835,3.2721080605637645
Site 9,2,Female,15,2.185256159541332,1.7740247258225432
Site 9,2,Female,16,2.077633974097459,2.472136845979638
Site 9,2,Female,17,1.5489835775297829,2.4526857393357706
Site 9,2,Female,18,2.3815116219293957,2.065314277812808
Site 9,2,Male,19,2.8242931706937977,3.059406048042129
Site 9,2,Female,20,2.7579806878147286,2.6572432005326947
Site 9,3,Female,1,2.832023161552629,2.881608884080746
Site 9,3,Female,2,2.104550840669035,2.8970090341675343
Site 9,3,Male,3,2.1488505840110945,1.828795863108734
Site 9,3,Male,4,2.238553262294823,2.2587269624650514
Site 9,3,Male,5,2.344120861617832,2.0302138143784103
Site 9,3,Female,6,2.028767760440391,2.8380227127213016
Site 9,3,Male,7,2.535786492231051,2.790463911721399
Site 9,3,Female,8,1.542819534632421,3.5255942208392383
Site 9,3,Male,9,2.244515620037067,2.551199620242303
Site 9,3,Female,10,1.9227978193448385,3.2120997473427937
Site 9,3,Female,11,1.6921968043824744,2.1162439662990895
Site 9,3,Male,12,1.9340362549063244,3.1363389736345004
Site 9,3,Female,13,2.0456785358649556,2.9973325216034805
Site 9,3,Male,14,1.364590792941176,2.8532851625207956
Site 9,3,Female,15,3.0728791719873016,2.811952199065132
Site 9,3,Male,16,2.53156929877447,2.2974347597863347
Site 9,3,Male,17,1.9834890311640416,2.847893323530507
Site 9,3,Male,18,1.8200988906052809,4.000654047556942
Site 9,3,Female,19,1.7343078865626913,2.7583927055234425
Site 9,3,Female,20,2.763104665345976,3.164142577429843
Site 9,4,Female,1,1.9360468168239966,2.8069451234175546
Site 9,4,Female,2,2.0070414656293867,3.219632749567455
Site 9,4,Female,3,2.4214267874746436,2.011279662489048
Site 9,4,Female,4,1.3766578041793318,2.4987541279847543
Site 9,4,Female,5,1.7886324860481888,3.5952444749133523
Site 9,4,Female,6,1.8215636359946263,2.797562443368045
Site 9,4,Female,7,2.586095179768487,2.9070678985105656
Site 9,4,Female,8,2.1176322064367796,2.54280748251607
Site 9,4,Male,9,2.7076866354411857,3.2940154562098534
Site 9,4,Female,10,2.9010073269373704,2.312782035217805
Site 9,4,Female,11,1.7584635567016962,2.1620537340651573
Site 9,4,Female,12,2.2330245823397354,1.7249231443840476
Site 9,4,Male,13,2.6990716157796517,2.5486353532946673
Site 9,4,Male,14,2.354683719841804,2.528182823262854
Site 9,4,Female,15,1.7132727457927184,2.896848967943728
Site 9,4,Female,16,3.00042300137387,2.1066777056200103
Site 9,4,Male,17,2.3037372713567397,2.1124276197714407
Site 9,4,Female,18,1.9731228375474301,2.3909769866847665
Site 9,4,Female,19,2.146277196008729,1.6492404458202792
Site 9,4,Male,20,2.533297988251822,2.7006262532479877
Site 9,5,Female,1,1.1697906482589244,2.4876858733884255
Site 9,5,Female,2,1.984996572713719,2.8826512768264894
Site 9,5,Male,3,2.8713938466567503,3.4877283352629243
Site 9,5,Male,4,1.2551393170000114,2.6070962616264692
Site 9,5,Male,5,2.9147321636058345,2.927650252194905
Site 9,5,Female,6,1.6149994995399508,1.8121658776698355
Site 9,5,Female,7,2.6685345200196835,2.6510073668531193
Site 9,5,Female,8,3.2373447729695806,2.584447102017556
Site 9,5,Female,9,1.5253636967454915,2.7938479515225043
Site 9,5,Female,10,2.1092961823788285,3.1299895647198053
Site 9,5,Female,11,2.8219292524126294,2.663909233796468
Site 9,5,Female,12,2.544355433580538,3.082597264377684
Site 9,5,Male,13,1.8422158960570372,3.01601262672308
Site 9,5,Female,14,2.669108875681424,3.004671702147244
Site 9,5,Male,15,2.594460031038526,2.475795454917274
Site 9,5,Female,16,0.7853765584804338,2.9724250171050186
Site 9,5,Male,17,2.6230896059569035,2.688919616519988
Site 9,5,Male,18,1.8136243353480594,2.311027969084467
Site 9,5,Female,19,2.246827321906474,3.158219218977826
Site 9,5,Female,20,2.6298471202587277,2.1154042785757836
Site 10,1,Female,1,1.7956321079502275,2.2260352890088453
Site 10,1,Male,2,2.889972399870233,1.4033170985691272
Site 10,1,Male,3,2.7523628542098804,1.528612771934347
Site 10,1,Male,4,2.2954378594284512,1.1679753456400708
Site 10,1,Male,5,2.1535396108929734,1.7358439305918854
Site 10,1,Female,6,1.4817599750322852,1.7502016947276309
Site 10,1,Male,7,1.995526033376406,2.977498200229508
Site 10,1,Male,8,1.9576713101419496,1.0861407482404695
Site 10,1,Male,9,2.544488895359958,2.1264522379920963
Site 10,1,Female,10,2.332966972661598,0.8883506780111704
Site 10,1,Female,11,1.6306662544089652,0.7601995111517451
Site 10,1,Male,12,2.7642486769262424,1.5128980852024199
Site 10,1,Female,13,2.2609159047368816,1.8915044652232649
Site 10,1,Male,14,2.5007920457326245,2.381732447181797
Site 10,1,Female,15,2.4213317413868554,2.1709099291178076
Site 10,1,Female,16,1.7943177832871695,2.7563302231419224
Site 10,1,Female,17,2.2356186163889022,1.906680500524545
Site 10,1,Female,18,1.8827087369963618,2.3515142434131784
Site 10,1,Male,19,2.198667815058316,1.5502759791540865
Site 10,1,Male,20,2.1963718066668023,2.079033028809198
Site 10,2,Female,1,2.105552359908955,2.4782633964976832
Site 10,2,Male,2,2.4852780922784667,1.7522659025066893
Site 10,2,Female,3,2.170049481118282,1.221186821285174
Site 10,2,Male,4,1.590979208222588,0.9027521645936315
Site 10,2,Female,5,2.4113611279800162,1.805292092368896
Site 10,2,Female,6,1.6437606015343422,1.50698045571412
Site 10,2,Female,7,2.3775013147001394,2.678605556059193
Site 10,2,Male,8,2.413001364933827,1.8149403279176632
Site 10,2,Female,9,2.3297100861116076,1.0877441433008777
Site 10,2,Male,10,1.5389296221290067,0.6632649764133767
Site 10,2,Male,11,1.9606646713301428,1.993256086286294
Site 10,2,Male,12,1.7531450726520719,1.8432528759514604
Site 10,2,Male,13,2.8593031562060434,1.8746725019684611
Site 10,2,Male,14,2.401004337731842,1.651624628570222
Site 10,2,Female,15,2.392612668656961,1.5131563966536086
Site 10,2,Male,16,2.521600314718838,2.3212437632549947
Site 10,2,Female,17,2.0395505975546815,1.4369280185985762
Site 10,2,Female,18,2.1006858667640946,2.099422156892953
Site 10,2,Female,19,2.403253364185166,1.5615151433391545
Site 10,2,Male,20,2.681339937620181,1.915937047611715
Site 10,3,Female,1,2.243408752908969,2.482001387310823
Site 10,3,Male,2,1.2437029613208956,2.065649750043882
Site 10,3,Female,3,1.5310805831244156,1.3436320991944803
Site 10,3,Female,4,2.700616049666241,2.377165613542481
Site 10,3,Male,5,2.6070872944393044,1.6178187945115963
Site 10,3,Male,6,2.293207790357083,1.9404035155645336
Site 10,3,Male,7,2.6200783269143852,1.510229850458168
Site 10,3,Male,8,1.4906193195213153,1.8140747985577104
Site 10,3,Male,9,1.9150700702961676,1.664161366252132
Site 10,3,Female,10,1.7981839399654973,2.3620734018193383
